Title,First air date,End date,Rating,Genres,Status,Network,Summary
The Witcher,2019-12-20,2023-07-27,8,"[""Drama"", ""Action"", ""Fantasy""]",Running; returning October 2025,Netflix,"Based on the best-selling fantasy series, The Witcher is an epic tale of fate and family. Geralt of Rivia, a solitary monster hunter, struggles to find his place in a world where people often prove more wicked than beasts. But when destiny hurtles him toward a powerful sorceress, and a young princess with a dangerous secret, the three must learn to navigate the increasingly volatile Continent together."
Stranger Things,2016-07-15,2022-07-01,8.5,"[""Drama"", ""Horror"", ""Science-Fiction""]",Running; returning November 2025,Netflix,"When a young boy vanishes, a small town uncovers a mystery involving secret experiments, terrifying supernatural forces and one strange little girl."
NCIS,2006-09-19,2025-10-21,7.9,"[""Drama"", ""Action"", ""Crime""]",Running,CBS,"(Naval Criminal Investigative Service) is more than just an action drama. With liberal doses of humor, it's a show that focuses on the sometimes complex and always amusing dynamics of a team forced to work together in high-stress situations. Leroy Jethro Gibbs, a former Marine gunnery sergeant, whose skills as an investigator are unmatched, leads this troupe of colorful personalities. Rounding out the team are Anthony DiNozzo, an ex-homicide detective whose instincts in the field are unparalleled and whose quick wit and humorous take on life make him a team favorite; the youthful and energetic forensic specialist Abby Sciuto, a talented scientist whose sharp mind matches her Goth style and eclectic tastes; Caitlin Todd, an ex-Secret Service Agent; and Timothy McGee, an MIT graduate whose brilliance with computers far overshadows his insecurities in the field; Assisting the team is medical examiner Dr. Donald ""Ducky"" Mallard, who knows it all because he's seen it all, and he's not afraid to let you know. From murder and espionage to terrorism and stolen submarines, these special agents travel the globe to investigate all crimes with Navy or Marine Corps ties."
South Park,1997-08-13,2025-10-15,8.3,"[""Comedy""]",Running,Comedy Central,is an adult comedy animation show centred around 4 children in the small town of south park. Its humour is often dark involving satirical elements and mocking current real-life events.
Grey's Anatomy,2005-09-25,2025-10-23,7.7,"[""Drama"", ""Romance"", ""Medical""]",Running,ABC,"The doctors of Grey Sloan Memorial Hospital deal with life-or-death consequences on a daily basis -- it's in one another that they find comfort, friendship and, at times, more than friendship. Together they're discovering that neither medicine nor relationships can be defined in black and white. Real life only comes in shades of grey."
FBI,2018-09-25,2025-10-20,7.2,"[""Drama"", ""Crime""]",Running,CBS,"is a fast-paced drama about the inner workings of the New York Field Office of the Federal Bureau of Investigation. These first-class agents, including Special Agent Maggie Bell and her partner, Special Agent Omar Adom 'OA' Zidan, bring all their talents, intellect and technical expertise on major cases in order to keep New York and the country safe."
Chicago P.D.,2014-01-08,2025-10-22,8,"[""Drama"", ""Crime""]",Running,NBC,"District 21 of the Chicago Police Department is made up of two distinctly different groups. There are the uniformed cops who patrol the beat and go head to head with the city's street crimes. And there's the Intelligence Unit, the team that combats the city's major offenses - organized crime, drug trafficking, high profile murders and beyond. These are their stories."
Invasion,2021-10-22,2025-10-24,6.6,"[""Drama"", ""Science-Fiction"", ""Mystery""]",To Be Determined,Apple TV,Earth is visited by an alien species that threatens humanity's existence. Events unfold in real time through the eyes of five ordinary people across the globe as they struggle to make sense of the chaos unraveling around them.
The Boys,2019-07-26,2024-07-18,8.4,"[""Action"", ""Fantasy"", ""Adult""]",Running; returning 2026,Prime Video,"In a world where superheroes embrace the darker side of their massive celebrity and fame, The Boys centres on a group of vigilantes known informally as ""The Boys,"" who set out to take down corrupt superheroes with no more than blue collar grit and a willingness to fight dirty."
Gen V,2023-09-29,2025-10-22,7.3,"[""Comedy"", ""Action"", ""Science-Fiction""]",To Be Determined,Prime Video,"From the world of The Boys comes Gen V, a thrilling new series set at America's only college for superheroes. These gifted students put their moral boundaries to the test, competing for the university's top ranking, and a chance to join The Seven, Vought International's elite superhero team. When the school's dark secrets come to light, they must decide what kind of heroes they want to become."
Slow Horses,2022-04-01,2025-10-22,8.1,"[""Drama"", ""Thriller"", ""Espionage""]",Running,Apple TV,follows the story of a group of British intelligence agents who serve in a dumping ground department of MI5 called Slough House after the big mistakes they've made that resulted in the end of their mainstream careers.
Chicago Fire,2012-10-10,2025-10-22,8,"[""Drama"", ""Action""]",Running,NBC,"No job is more stressful, dangerous or exhilarating than those of the Firefighters, Rescue Squad and Paramedics of Chicago Firehouse 51. These are the courageous men and women who forge headfirst into danger when everyone else is running the other way and whose actions make the difference between life and death. These are their stories."
True Detective,2014-01-12,2024-02-18,8.1,"[""Drama"", ""Crime"", ""Thriller""]",Running; returning 2025,HBO,Touch darkness and darkness touches you back. True Detective centers on troubled cops and the investigations that drive them to the edge. Each season features a new cast and a new case.
Tulsa King,2022-11-13,2025-10-19,7.8,"[""Drama"", ""Comedy"", ""Crime""]",Running,Paramount+,"follows New York mafia capo Dwight ""The General"" Manfredi, just after he is released from prison after 25 years and unceremoniously exiled by his boss to set up shop in Tulsa, Oklahoma. Realizing that his mob family may not have his best interests in mind, Dwight slowly builds a ""crew"" from a group of unlikely characters, to help him establish a new criminal empire in a place that, to him, might as well be another planet."
Fallout,2024-04-10,2024-04-10,7.8,"[""Drama"", ""Action"", ""Science-Fiction""]",Running; returning December 2025,Prime Video,"Based on one of the greatest video game series of all time, Fallout is the story of haves and have nots in a world in which there's almost nothing left to have. 200 years after the apocalypse, a peaceful denizen from a cozy fallout shelter is forced to return to the surface and is shocked to discover the wasteland waiting for her."
Only Murders in the Building,2021-08-31,2025-10-21,6.8,"[""Comedy"", ""Crime"", ""Mystery""]",Running,Hulu,follows three New Yorkers who find they have a mutual interest in solving true crime – but limit their amateur sleuthing to only murders in their building.
Star Trek: Strange New Worlds,2022-05-05,2025-09-11,7.9,"[""Action"", ""Adventure"", ""Science-Fiction""]",Running; returning 2026,Paramount+,"follows Captain Pike, Science Officer Spock and Number One in the decade before Captain Kirk boarded the U.S.S. Enterprise, as they explore new worlds around the galaxy."
Foundation,2021-09-24,2025-09-12,7.7,"[""Drama"", ""Science-Fiction"", ""Mystery""]",Running; returning 2027,Apple TV,"When revolutionary Dr. Hari Seldon predicts the impending fall of the Empire, he and a band of loyal followers venture to the far reaches of the galaxy to establish The Foundation in an attempt to rebuild and preserve the future of civilization. Enraged by Hari's claims, the ruling Cleons – a long line of emperor clones – fear their grasp on the galaxy may be weakening as they're forced to reckon with the potential reality of losing their legacy forever."
